brand,title,accords,gender,age,secondary notes
Jardins-d-Ecrivains,L’Eau De Marceline (Floral Infusion) Jardins d’Ecrivains for women and men,"cherry,sweet,yellow floral,rose,woody,tonka (coumarin)",unisex,older_twenty_five,"almond,vanilla,powdery,berry,cinnamon"
Charriol,Charriol Eau de Parfum Pour Homme Charriol for men,"cinnamon,animalic,leather,amber,warm spicy,white floral",male,older_twenty_five,"musk,phenolic,tobacco,powdery,medicinal"
Givenchy,Les Parfums Mythiques - Organza Indecence Givenchy for women,"cinnamon,warm spicy,amber,sweet,fruity,citrus",female,older_twenty_five,"powdery,vanilla,blackcurrant,cherry,grass"
Baldinini,Baldinini Man Baldinini for men,"cinnamon,warm spicy,tobacco,sweet,aromatic,fresh spicy,",male,older_twenty_five,"powdery,blackcurrant,vanilla,grass,leather"
Lisa-Hoffman,Tunisian Neroli Lisa Hoffman for women,"citrus,amber,green,white floral,fresh,narcotic,",female,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Darphin,Accents d'Aromes Pour Lui Darphin for men,"citrus,amber,warm spicy,woody,fresh",male,older_twenty_five,"blackcurrant,anisic,dry"
YanFroloff,Chypre 1920 YanFroloff for women and men,"citrus,amber,woody,white floral,aromatic,balsamic,",unisex,older_twenty_five,"cacao,blackcurrant,anisic,dry,berry"
Aromatologic,No. 13 Aromatologic for men,"citrus,aquatic,floral,fresh,green,aromatic,",male,older_twenty_five,"lemon,pungent,violetflower,grapefruit,musty"
Zara,Zara Night Pour Homme II Zara for men,"citrus,aromatic,fresh spicy,amber,woody,",male,older_twenty_five,"blackcurrant,anisic,dry"
JoAnne-Bassett,Reveiller JoAnne Bassett for women and men,"citrus,aromatic,fresh spicy,fresh,green,",unisex,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Alan-Bray,Shiraz Alan Bray for men,"citrus,aromatic,fresh spicy,green,musky",male,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Nicolai-Parfumeur-Createur,New York Nicolai Parfumeur Createur for men,"citrus,aromatic,fresh spicy,herbal,warm spicy",male,older_twenty_five,"apple,animalic"
St-Clair-Scents,Frost St. Clair Scents for women and men,"citrus,aromatic,fresh spicy,rose,woody",unisex,older_twenty_five,"blackcurrant,anisic,dry"
Giorgio-Armani,Oranger Alhambra Giorgio Armani for women,"citrus,aromatic,fresh spicy,woody,green,fresh,",female,older_twenty_five,"blackcurrant,anisic,dry,grapefruit,musty"
DFG1924,Aroma Blu DFG1924 for women and men,"citrus,aromatic,fresh spicy,woody,musky,",unisex,older_twenty_five,"blackcurrant,anisic,dry"
Memo-Paris,Moon Fever Memo Paris for women and men,"citrus,aromatic,green,woody,fresh,leather,",unisex,older_twenty_five,"animalic,phenolic,medicinal,tobacco,smoky"
Historiae,Orangerie du Roy Historiae for women and men,"citrus,aromatic,white floral,fresh spicy,green,",unisex,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Pekji,Eau Mer Pekji for women and men,"citrus,aromatic,white floral,fresh spicy,woody,",unisex,older_twenty_five,"blackcurrant,anisic,dry"
Miya-Shinma,Mizu Miya Shinma for women and men,"citrus,aromatic,white floral,green,woody",unisex,older_twenty_five,"grapefruit,musty,clean,oily,grass"
Eclectic-Collections,Autograph Eclectic Collections for men,"citrus,aromatic,woody,balsamic,sweet,white floral,",male,older_twenty_five,"cacao,blackcurrant,anisic,dry,berry"
Memo-Paris,Moon Safari Memo Paris for women and men,"citrus,aromatic,woody,green,fresh,leather,",unisex,older_twenty_five,"animalic,phenolic,medicinal,tobacco,smoky"
